image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00876.jpg,0.01,0.01,0.01,0.01,0.90000000000000002,0.01,0.01,0.01
img_01059.jpg,0.01,0.024679900000000001,0.01,0.01,0.01,0.01,0.01,0.90000000000000002
img_02834.jpg,0.59226199999999996,0.058593100000000002,0.011745800000000001,0.01,0.01,0.229851,0.01,0.10216600000000001
img_03941.jpg,0.723491,0.01,0.01,0.01,0.01,0.25079099999999999,0.01,0.0141914
img_05137.jpg,0.63199799999999995,0.01,0.01,0.01,0.01,0.36468699999999998,0.01,0.01
img_05434.jpg,0.01,0.01,0.01,0.01,0.90000000000000002,0.01,0.01,0.01
img_01249.jpg,0.01,0.01,0.01,0.01,0.90000000000000002,0.01,0.01,0.01
img_01116.jpg,0.25865199999999999,0.140041,0.01,0.01,0.01,0.52880000000000005,0.01,0.067719000000000001
img_04130.jpg,0.71413800000000005,0.12503300000000001,0.055352400000000003,0.01,0.026050799999999999,0.01,0.043017600000000003,0.030440200000000001
img_06021.jpg,0.01,0.01,0.90000000000000002,0.01,0.01,0.01,0.01,0.01
img_05657.jpg,0.060681600000000002,0.079009800000000005,0.012111200000000001,0.01,0.162937,0.039802499999999998,0.60633199999999998,0.038424699999999999
img_03627.jpg,0.48791600000000002,0.029353000000000001,0.01,0.01,0.01,0.11720999999999999,0.01,0.35971500000000001
img_00765.jpg,0.016574599999999998,0.089696799999999993,0.01,0.066168699999999997,0.0275328,0.261156,0.017135600000000001,0.520814
img_04127.jpg,0.62373699999999999,0.14408599999999999,0.01,0.01,0.01,0.0429183,0.01,0.186804
img_06368.jpg,0.13734299999999999,0.0147863,0.030250900000000001,0.01,0.0127809,0.75722599999999995,0.01,0.046672699999999998
img_00469.jpg,0.67089600000000005,0.013414199999999999,0.01,0.053543,0.01,0.0144204,0.01,0.24392
img_04453.jpg,0.01,0.01,0.01,0.01,0.90000000000000002,0.01,0.01,0.01
img_03135.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.90000000000000002
img_07436.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.90000000000000002,0.01
img_07079.jpg,0.01,0.01,0.01,0.01,0.90000000000000002,0.01,0.01,0.01
img_01847.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.90000000000000002
img_05489.jpg,0.90000000000000002,0.052614300000000003,0.01,0.01,0.01,0.01,0.01,0.01
img_05755.jpg,0.84447499999999998,0.0331551,0.01,0.01,0.01,0.0810921,0.01,0.0368408
img_04586.jpg,0.90000000000000002,0.01,0.01,0.01,0.01,0.070716399999999999,0.01,0.01
img_00959.jpg,0.90000000000000002,0.022462900000000001,0.01,0.01,0.01,0.01,0.01,0.01
img_01541.jpg,0.01,0.01,0.01,0.01,0.90000000000000002,0.01,0.01,0.01
img_06860.jpg,0.01,0.01,0.01,0.01,0.90000000000000002,0.01,0.01,0.01
img_00648.jpg,0.90000000000000002,0.01,0.01,0.01,0.01,0.01,0.01,0.049631500000000002
img_01618.jpg,0.90000000000000002,0.010598700000000001,0.01,0.01,0.01,0.049551400000000002,0.01,0.01
